10_10_r_1;630;468;633;452;
10_1_r_1;635;520;645;506;
10_2_r_1;525;445;538;431;
10_3_r_1;580;390;590;367;
10_4_r_1;598;442;607;427;
10_5_r_1;575;415;564;407;
10_6_r_1;575;505;579;506;
10_7_r_1;590;422;591;407;
10_8_r_1;525;372;528;349;
10_9_r_1;572;415;575;403;
11_10_r_1;465;178;466;160;
11_1_r_1;420;175;413;169;
11_2_r_1;435;200;430;195;
11_3_r_1;450;245;452;225;
11_4_r_1;502;218;498;205;
11_5_r_1;395;282;395;268;
11_6_r_1;392;288;285;288;
11_7_r_1;382;202;383;187;
11_8_r_1;340;232;341;230;
11_9_r_1;360;258;359;225;
12_10_r_1;420;268;423;248;
12_1_r_1;325;438;331;423;
12_2_r_1;322;370;319;367;
12_3_r_1;348;345;344;325;
12_4_r_1;438;290;422;270;
12_5_r_1;290;368;286;365;
12_6_r_1;472;262;473;256;
12_7_r_1;390;260;358;250;
12_8_r_1;442;290;443;274;
12_9_r_1;448;250;455;244;
13_10_r_1;388;355;384;356;
13_1_r_1;372;370;376;365;
13_2_r_1;392;375;389;363;
13_3_r_1;448;348;449;347;
13_4_r_1;450;355;451;358;
13_5_r_1;412;385;414;371;
13_6_r_1;398;445;392;437;
13_7_r_1;318;412;324;399;
13_8_r_1;412;372;400;352;
13_9_r_1;420;435;417;430;
14_10_r_1;390;398;381;392;
14_1_r_1;385;345;396;331;
14_2_r_1;525;335;529;326;
14_3_r_1;455;315;452;315;
14_4_r_1;442;378;437;367;
14_5_r_1;415;385;414;382;
14_6_r_1;388;365;369;363;
14_7_r_1;370;430;377;425;
14_8_r_1;425;420;479;422;
14_9_r_1;455;455;459;454;
15_10_r_1;475;432;455;435;
15_1_r_1;272;458;264;453;
15_2_r_1;290;310;286;300;
15_3_r_1;382;225;372;205;
15_4_r_1;320;418;332;405;
15_5_r_1;355;502;423;502;
15_6_r_1;285;360;284;350;
15_7_r_1;233;398;257;384;
15_8_r_1;502;202;508;192;
15_9_r_1;450;415;457;409;
16_10_r_1;385;400;389;395;
16_1_r_1;310;398;339;399;
16_2_r_1;432;338;438;357;
16_3_r_1;482;332;474;341;
16_4_r_1;500;375;502;372;
16_5_r_1;278;410;274;427;
16_6_r_1;388;350;384;351;
16_7_r_1;378;398;364;473;
16_8_r_1;390;395;408;346;
16_9_r_1;408;325;433;326;
1_10_r_1;450;525;451;524;
1_1_r_1;325;500;380;485;
1_2_r_1;345;465;354;457;
1_3_r_1;305;418;308;394;
1_4_r_1;378;470;343;463;
1_5_r_1;355;478;340;491;
1_6_r_1;400;440;397;427;
1_7_r_1;325;440;321;424;
1_8_r_1;450;430;469;440;
1_9_r_1;452;460;468;434;
2_10_r_1;370;515;322;488;
2_1_r_1;285;455;279;449;
2_2_r_1;330;433;321;417;
2_3_r_1;365;490;368;445;
2_4_r_1;360;490;349;465;
2_5_r_1;392;518;388;506;
2_6_r_1;240;458;238;464;
2_7_r_1;302;432;286;420;
2_8_r_1;308;465;292;441;
2_9_r_1;298;470;275;430;
3_10_r_1;282;275;258;242;
3_1_r_1;320;405;289;388;
3_2_r_1;395;482;364;428;
3_3_r_1;340;450;329;406;
3_4_r_1;263;390;271;374;
3_5_r_1;230;460;272;439;
3_6_r_1;260;462;288;471;
3_7_r_1;278;412;320;405;
3_8_r_1;378;370;376;356;
3_9_r_1;335;428;353;391;
4_10_r_1;432;412;375;413;
4_1_r_1;380;488;364;449;
4_2_r_1;378;488;362;418;
4_3_r_1;290;525;312;480;
4_4_r_1;430;532;428;467;
4_5_r_1;342;442;357;400;
4_6_r_1;358;418;373;376;
4_7_r_1;295;470;315;408;
4_8_r_1;255;390;281;345;
4_9_r_1;285;292;307;246;
5_10_r_1;308;252;307;237;
5_1_r_1;292;380;310;351;
5_2_r_1;210;220;220;219;
5_3_r_1;262;392;287;356;
5_4_r_1;348;372;370;351;
5_5_r_1;272;272;299;285;
5_6_r_1;322;270;379;289;
5_7_r_1;410;242;407;236;
5_8_r_1;352;225;341;225;
5_9_r_1;335;202;350;205;
6_10_r_1;395;230;437;216;
6_1_r_1;362;382;376;350;
6_2_r_1;285;420;282;370;
6_3_r_1;365;352;368;302;
6_4_r_1;444;422;425;391;
6_5_r_1;392;265;400;284;
6_6_r_1;420;220;384;187;
6_7_r_1;278;262;275;264;
6_8_r_1;325;228;341;240;
6_9_r_1;308;300;274;259;
7_10_r_1;595;312;593;294;
7_1_r_1;338;438;329;416;
7_2_r_1;392;332;284;299;
7_3_r_1;430;415;424;402;
7_4_r_1;435;345;420;327;
7_5_r_1;345;508;348;511;
7_6_r_1;390;430;398;415;
7_7_r_1;392;315;399;295;
7_8_r_1;380;250;391;226;
7_9_r_1;438;308;444;307;
8_10_r_1;358;378;354;359;
8_1_r_1;340;350;329;344;
8_2_r_1;278;362;273;331;
8_3_r_1;485;272;479;253;
8_4_r_1;490;512;487;513;
8_5_r_1;222;515;217;505;
8_6_r_1;475;275;472;271;
8_7_r_1;388;302;378;278;
8_8_r_1;260;342;248;323;
8_9_r_1;382;472;382;451;
9_10_r_1;288;282;272;278;
9_1_r_1;120;265;107;245;
9_2_r_1;278;230;265;204;
9_3_r_1;292;240;293;240;
9_4_r_1;348;332;365;314;
9_5_r_1;298;298;281;281;
9_6_r_1;280;315;280;309;
9_7_r_1;278;272;271;267;
9_8_r_1;302;268;301;267;
9_9_r_1;310;280;307;252;

